Plot Number,Diameter (cm),DBH,Species
1,27,8.594366927,Chestnut Oak
1,19,6.047887837,Chestnut Oak
1,39,12.41408556,Chestnut Oak
1,115,36.60563691,Red Oak
1,163,51.88451145,Red Oak
1,16,5.092958179,American Beech
1,2,0.636619772,American Beech
1,84,26.73803044,Tulip Popler
1,19,6.047887837,Black Gum
1,45,14.32394488,Black Gum
1,42,13.36901522,Black Gum
2,95,30.23943919,Red Oak
2,190,60.47887837,Red Oak
2,18,5.729577951,Red Oak
2,25,7.957747155,Red Oak
2,74,23.55493158,Chestnut Oak
2,141,44.88169395,Chestnut Oak
2,150,47.74648293,Chestnut Oak
2,180,57.29577951,Chestnut Oak
2,160,50.92958179,Chestnut Oak
2,35,11.14084602,Chestnut Oak
2,11,3.501408748,American Beech
2,19,6.047887837,American Beech
2,34.5,10.98169107,Yellow Birtch
2,111,35.33239737,White Oak
2,11,3.501408748,Moutian Laural
